Locality,TVA ID,Lat,Long,Ichthyomyzon_bdellium,Ichthyomyzon_castaneus,Ichthyomyzon_greelyi,Lampetra_aepyptera,Alosa_aestivalis,Dorosoma_cepedianum,Dorosoma_petenense,Lepisosteus_oculatus,Lepisosteus_osseus,Cyprinus_carpio,Campostoma_oligolepis,Clinostomus_funduloides,Cyprinella_galactura,Cyprinella_spiloptera,Cyprinealla_whipplei,Erimonax_monacha,Erimystax_dissimilis,Erimystax_insignis,Hybobsis_amblops,Luxilus_chrysocephalus,Luxilus_coccogenis,Lythrurus_fasciolaris,Lythrurus_lirus,Nocomis_micropogon,Notemigonus_crysoleucas,Notropis_atherinoides,Notropis_leuciodus,Notropis_micropteryx,Notropis_photogenis,Notropis_rubricroceus,Notropis_ms_serralatus,Notropis_spectrunculus,Notropis_stramineus,Notropis_telescopus,Notropis_volucellus,Phenacobius_crassilabrum,Phenacobius_uranops,Pimephales_notatus,Pimephales_promelas,Pimephales_vigilax,Rhinichthys_cataractae,Rhinichthys_obtusus,Semotilus_atromaculatus,Carpioides_carpio,Carpioides_cyprinus,Carpioides_velifer,Catostomus_commersonii,Hypentelium_nigricans,Ictiobus_bubalus,Ictiobus_niger,Minytrema_melanops,Moxostoma_anisurum,Moxostoma_breviceps,Moxostoma_carinatum,Moxostoma_duquesnei,Moxostoma_erythrurum,Ictalurus_punctulatus,Ameiurus_brunneus,Ameiurus_melas,Ameiurus_natalis,Ameiurus_nebulosus,Ameiurus_platycephalus,Noturus_eleutherus,Noturus_flavus,Noturus_insignis,Pylodictus_olivaris,Esox_americanus,Esox_masquinongy,Esox_niger,Oncorhynchus_mykiss,Salmo_trutta,Salvalinus_fontinalis,Salvelinus_naymacush,Fundulus_catenatus,Fundulus_notatus,Fundulus_olivaceus,Labidesthes_sicculus,Menidia_berylina,Gambusia_affinis,Cottus_baileyi,Cottus_bairdii,Cottus_carolinae,Morone_chrysops,Morone_mississippiensis,Morone_saxatilis,Ambloplites_rupestris,Lepomis_auritus,Lepomis_cyanellus,Lepomis_gibbosus,Lepomis_gulosus,Lepomis_macrochirus,Lepomis_megalotis,Lepomis_microlophus,Lepomis_punctatus,Micropterus_coosae,Micropterus_dolomieu,Micropterus_punctulatus,Micropterus_salmoides,Pomoxis_annularis,Pomoxis_nigrofasciatus,Etheostoma_blennioides,Etheostoma_caeruleum,Etheostoma_cinereum,Etheostoma_duryi,Etheostoma_flavum,Etheostoma_gutselli,Etheostoma_jessiae,Etheostoma_kennicotti,Etheostoma_simoterum,Etheostom_swannanoa,Etheostoma_zonale,Nothonotus_acuticeps,Nothonotus_camurus,Nothonotus_chlorobranchius,Nothonotus_denoncourti,Nothonotus_rufilineatus,Nothonotus_vulneratus,Percina_aurantiaca,Percina_burtoni,Percina_caprodes,Percina_coplandi,Percina_evides,Percina_macrocephala,Percina_sciera,Percina_shumardi,Percina_squamata,Percina_tanasi,Perca_flavescens,Sander_canadense,Sander_vitreus,Aplodinotus_grunniens
BigLimestoneCr,924.1,36.2053,-82.6504,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BigLostCr,925.1,35.1794,-84.4898,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BigMoccasinCr1,927.1,36.6926,-82.4605,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BigMoccasinCr2,927.11,36.709,-82.4172,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BigMoccasinCr8,927.7,36.6111,-82.5497,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BigMoccasinCr9,927.8,36.6476,-82.5532,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BigMoccasinCr10,927.9,36.6814,-82.5231,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BigSeweeCr,948.1,35.606,-84.6752,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BigWarCr,966.1,36.4269,-83.3438,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BlackCr,1043.2,35.0084,-85.3717,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
